iihtáísatsínaakio'pa,iihtáísatsínaakio'p,,ohtáísatsínaakio'p,NA,"""@R.person.NULL@""",
iihtáísatsínaakio'pa,,%^SPomohtáísatsínaakihp,ohtáísatsínaakihp,NA,"""@D.person.NULL@""",
iihtáísattsíkaapiksistakio'pa,iihtáísattsíkaapiksistakio'p,,ohtáísattsíkaapiksistakio'p,NA,"""@R.person.NULL@""",
iihtáísattsíkaapiksistakio'pa,,%^SPomohtáísattsíkaapiksistakihp,ohtáísattsíkaapiksistakihp,NA,"""@D.person.NULL@""",
iihtáísínaakio'pa,iihtáísínaakio'p,,ohtáísínaakio'p,NA,"""@R.person.NULL@""",
iihtáísínaakio'pa,,%^SPomohtáísínaakihp,ohtáísínaakihp,NA,"""@D.person.NULL@""",
iihtáíso'pioohso'pa,iihtáíso'pioohso'p,,ohtáíso'pioohso'p,NA,"""@R.person.NULL@""",
iihtáíso'pioohso'pa,,%^SPomohtáísspioohssp,ohtáísspioohssp,NA,"""@D.person.NULL@""",
iihtáíssáakio'pa,iihtáíssáakio'p,,ohtáíssáakio'p,NA,"""@R.person.NULL@""",
iihtáíssáakio'pa,,%^SPomohtáíssáakihp,ohtáíssáakihp,NA,"""@D.person.NULL@""",
iihtáíssiiststakio'pa,iihtáíssiiststakio'p,,ohtáíssiiststakio'p,NA,"""@R.person.NULL@""",
iihtáíssiiststakio'pa,,%^SPomohtáíssiiststakihp,ohtáíssiiststakihp,NA,"""@D.person.NULL@""",
iihtáíssisskioohsao'pa,iihtáíssisskioohsao'p,,ohtáíssisskioohsao'p,NA,"""@R.person.NULL@""",
iihtáíssisskioohsao'pa,,%^SPomohtáíssisskioohsahp,ohtáíssisskioohsahp,NA,"""@D.person.NULL@""",
iihtáíssokááhkiaakio'pa,iihtáíssokááhkiaakio'p,,ohtáíssokááhkiaakio'p,NA,"""@R.person.NULL@""",
iihtáíssokááhkiaakio'pa,,%^SPomohtáíssokááhkiaakihp,ohtáíssokááhkiaakihp,NA,"""@D.person.NULL@""",
iihtáísstssimao'pa,iihtáísstssimao'p,,ohtáísstssimao'p,NA,"""@R.person.NULL@""",
