PS/o'kstsik,o'kstsik,o'kstsik,o'kstsik,PSBOUND2,,pers assumed following o'k
PS/oma,oma,oma,oma,PSBOUND2,,"initial, pers assumed"
PS/omaa,iimaa,omaa,omaa,PSBOUND2,,
PS/ómahk,ómahk,ómahk,ómahk,PSBOUND2,,
PS/omahka,omahka,omahka,omahka,PSBOUND2,,pers assumed
PS/omanista,omanista,omanista,omanista,PSBOUND2,,pers assumed
PS/omat,omat,omat,omat,PSBOUND2,,"homophones, pers assumed, sometimes ii initially, not sure if tense"
PS/omatap,omatap,omatap,omatap,PSBOUND2,,pers assumed
PS/omi,omi,omi,omi,PSBOUND2,,"initial, pers assumed"
PS/omia'nist,omia'nist,omia'nist,omia'nist,PSBOUND2,,
PS/omo(w/y),omoG,omoG,omoG,PSBOUND2,,
PS/on,on,onai't,on,PSBOUND2,,
PS/ona',ona',ona',ona',PSBOUND2,,"initial, pers assumed"
PS/onai't,nai't,onai't,onai't,PSBOUND2,,"pers assumed, little evidence; is this ona' plus it??"
PS/onaki,onaki,onaki,onaki,PSBOUND2,,
PS/onnat,innat,onnat,onnat,PSBOUND2,,
PS/oohkanistta,oohkanistta,oohkanistta,oohkanistta,PSBOUND2,,"initial, pers assumed"
PS/oohsi,oohsi,ohsi,ohsi,PSBOUND2,,
PS/oomok,oomok,oomok,oomok,PSBOUND2,,check relationship with iyoomok
PS/ooto,ooto,ooto,ooto,PSBOUND2,,
PS/opi,opi,opi,opi,PSBOUND2,,pers assumed
PS/opott,opott,opott,opott,PSBOUND2,,
PS/o't,o't,o't,o't,PSBOUND2,,
PS/otahko,otahko,otahko,otahko,PSBOUND2,,pers assumed
PS/o'tak,o'tak,o'tak,o'tak,PSBOUND2,,
PS/otam,otam,otam,otam,PSBOUND2,,
PS/otam,otam,otam,otam,PSBOUND2,,homophones seem to behave the same
PS/o'tam,o'tam,o'tam,o'tam,PSBOUND2,,
PS/o'tap,o'tap,o'tap,o'tap,PSBOUND2,,"initial, pers assumed"
PS/otats,otats,otats,otats,PSBOUND2,,"initial, pers assumed"
PS/otomohk,otomohk,otomohk,otomohk,PSBOUND2,,"pers, elsewhere assumed"
PS/o'topi,o'topi,o'topi,o'topi,PSBOUND2,,"initial, pers assumed following o't"
PS/o'totam,o'totam,o'totam,o'totam,PSBOUND2,,
PS/o'tsat,o'tsat,o'tsat,o'tsat,PSBOUND2,,check relationship with o'tssat
PS/otsik,otsik,otsik,otsik,PSBOUND2,,
PS/otsistap,otsistap,otsistap,otsistap,PSBOUND2,,
PS/o'tsitsk,o'tsitsk,o'tsitsk,o'tsitsk,PSBOUND2,,
PS/o'tssat,o'tssat,o'tssat,o'tssat,PSBOUND2,,check relationship with o'tsat
PS/ótssko,ótssko,ótssko,ótssko,PSBOUND2,,pers assumed
PS/ottapit,ottapit,ottapit,ottapit,PSBOUND2,,pers assumed
PS/paahk,paahk,i2pahk,i2pahk,PSBOUND2,,
PS/paahksíst,paahksíst,ipahksíst,ipahksíst,PSBOUND2,,"pers assumed, i2 unknown"
PS/paaht,paaht,ipaht,ipaht,PSBOUND2,,lacking evidence
PS/pa'ksik,pa'ksik,i2pa'ksik,i2pa'ksik,PSBOUND2,,"pers assumed, i2 assumed"
PS/piitsiyoohk,piitsiyoohk,%^SPi2piitsiyoohk,i2piitsiyoohk,PSBOUND2,,not sure this occurs after other prestems
PS/pi'k,pi'k,i2pi'k,i2pi'k,PSBOUND2,,
PS/pinááp,pinááp,i2nnaap,i2nnaap,PSBOUND2,,
PS/pisát,pisát,i2pisat,i2pisat,PSBOUND2,,
PS/póína,póína,i2poina,i2poina,PSBOUND2,,
PS/poohsap,poohsap,ipoohsap,i2poohsap,PSBOUND2,,check pers form
PS/sa,sa,sa,sa,PSBOUND2,,
PS/saahk,saahk,sahk,sahk,PSBOUND2,,"pers assumed, VLV a?"
PS/saaki,saaki,saaki,saaki,PSBOUND2,,
PS/saapo'kit,saapo'kit,saapo'kit,saapo'kit,PSBOUND2,,
PS/saat,saat,saat,saat,PSBOUND2,,"pers, elsewhere assumed"
